"Story","Title","Result","Date","Stability","Duration (s)"
"To test the forgot password functionality","To validate the forgot password functionality with valid and invalid credentials.","ERROR","2023-08-07T13:19:17.48+05:30[Asia/Calcutta]","0.0","84.75"
"To test the Homepage functionality","To validate the Afrexim Bank Logo","SUCCESS","2023-08-07T13:20:42.277+05:30[Asia/Calcutta]","0.0","14.87"
"To test the Homepage functionality","To validate the Homepage top options","SUCCESS","2023-08-07T13:20:58.071+05:30[Asia/Calcutta]","0.0","14.96"
"To test the Media option","To Validate the Media dropdown","SUCCESS","2023-08-07T13:21:13.917+05:30[Asia/Calcutta]","0.0","22.4"
"To Test the Our Bank Option in the home page","To validate the Our bank dropdown","SUCCESS","2023-08-07T13:21:37.209+05:30[Asia/Calcutta]","0.0","15.31"
"To Test the Our Bank Option in the home page","To validate About us tables","SUCCESS","2023-08-07T13:21:53.564+05:30[Asia/Calcutta]","0.0","69.81"
"To Test the Our Bank Option in the home page","To validate the drop down","SUCCESS","2023-08-07T13:23:04.282+05:30[Asia/Calcutta]","0.0","32.95"
"To test the Products and Services functionality","To validate the Products and services Dropdown","SUCCESS","2023-08-07T13:26:44.701+05:30[Asia/Calcutta]","0.0","17.04"
"To test the Products and Services functionality","To validate the Who we serve","SUCCESS","2023-08-07T13:27:02.59+05:30[Asia/Calcutta]","0.0","59.36"
"To test the Products and Services functionality","Test the Our key services funtionalty","SUCCESS","2023-08-07T13:28:02.863+05:30[Asia/Calcutta]","0.0","256.99"
"To verify the need help functionality","To test the need help functionality","SUCCESS","2023-08-07T13:32:20.804+05:30[Asia/Calcutta]","0.0","41.0"
"To test the Afrexim Bank server","To verify the login functionality","SUCCESS","2023-08-07T13:33:01.856+05:30[Asia/Calcutta]","0.0","24.98"
"To validate the Signup functionality of Afrexim page","To validate the signup functionality","SUCCESS","2023-08-07T13:33:26.87+05:30[Asia/Calcutta]","0.0","78.35"
"To validate the Functionality of Investers Option in Afrexim Bank","To Test the Investers Option in Afrexim Bank","SUCCESS","2023-08-07T13:34:45.254+05:30[Asia/Calcutta]","0.0","35.09"
